# source: refs/1702.05337.pdf page 10, frame (106.07, 82.89, 263.6, 183.77)
# axes: x [0.0, 1.6], y [-0.002, 0.004]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_q2_1p0: colour=(0.0, 0.0, 1.0) dash='[ 2.8781203 2.8781203 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_2p5: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_5p0: colour=(0.0, 0.0, 1.0) dash='[ 1.15125 2.3025 ] 0' points=317 x=[0.0050, 1.5850]
# curve xb1_theory2_q2_1p0: colour=(0.037, 0.833, 0.0) dash='[ 2.8781203 2.8781203 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_2p5: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_5p0: colour=(0.037, 0.833, 0.0) dash='[ 1.15125 2.3025 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_q2_1p0,xb1_theory1_q2_2p5,xb1_theory1_q2_5p0,xb1_theory2_q2_1p0,xb1_theory2_q2_2p5,xb1_theory2_q2_5p0
0.98452,0.00240728,0.000503733,0.00020009,0.000523552,0.000229226,0.000136476
0.989788,0.0023672,0.000485735,0.000189791,0.000514085,0.00022167,0.000130427
0.995056,0.00232689,0.000468043,0.000179874,0.000504536,0.000214392,0.000124652
1.00032,0.0022864,0.000450803,0.00017032,0.000494984,0.000207145,0.00011891
1.00559,0.00224578,0.000434034,0.000161142,0.000485453,0.000200217,0.000113518
1.01086,0.00220524,0.000417609,0.000152357,0.00047595,0.000193335,0.000108186
1.01613,0.00216483,0.000401626,0.000143933,0.000466588,0.000186696,0.000103175
1.02139,0.00212449,0.000386136,0.000135897,0.000457239,0.000180137,9.82516e-05
1.02666,0.0020843,0.000371093,0.000128141,0.000447929,0.000173804,9.35811e-05
1.03193,0.00204434,0.000356458,0.000120809,0.000438701,0.00016761,8.90488e-05
1.0372,0.00200473,0.000342304,0.000113833,0.000429617,0.00016166,8.47595e-05
1.04247,0.00196544,0.000328571,0.000107149,0.000420651,0.000155855,8.06287e-05
1.04773,0.00192656,0.00031533,0.000100765,0.000411821,0.000150218,7.66817e-05
1.053,0.00188805,0.000302548,9.47141e-05,0.000403109,0.00014479,7.29277e-05
